location,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva,Geneva
lat,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986,45.99986
lon,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500,5.62500
asl,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395,505.395
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Snowfall Amount,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Evapotranspiration,FAO Reference Evapotranspiration,CAPE,Wind Gust,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Temperature,Temperature,Temperature,Temperature,Soil Temperature,Soil Moisture,Vapor Pressure Deficit
unit,°C,%,hPa,mm,cm,%,%,%,%,min,W/m²,W/m²,W/m²,mm,mm,J/kg,km/h,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,km/h,°,°C,°C,°C,°C,°C,fraction,hPa
level,2 m elevation corrected,2 m,MSL,sfc,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,sfc,sfc,sfc,2 m,180-0 mb above gnd,sfc,10 m,10 m,80 m,80 m,900 mb,900 mb,850 mb,850 mb,700 mb,700 mb,500 mb,500 mb,1000 mb,850 mb,700 mb,sfc,0-10 cm down,0-10 cm down,2 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Geneva Temperature [2 m elevation corrected],Geneva Relative Humidity [2 m],Geneva Mean Sea Level Pressure [MSL],Geneva Precipitation Total,Geneva Snowfall Amount,Geneva Cloud Cover Total,Geneva Cloud Cover High [high cld lay],Geneva Cloud Cover Medium [mid cld lay],Geneva Cloud Cover Low [low cld lay],Geneva Sunshine Duration,Geneva Shortwave Radiation,Geneva Direct Shortwave Radiation,Geneva Diffuse Shortwave Radiation,Geneva Evapotranspiration,Geneva FAO Reference Evapotranspiration [2 m],Geneva CAPE [180-0 mb above gnd],Geneva Wind Gust,Geneva Wind Speed [10 m],Geneva Wind Direction [10 m],Geneva Wind Speed [80 m],Geneva Wind Direction [80 m],Geneva Wind Speed [900 mb],Geneva Wind Direction [900 mb],Geneva Wind Speed [850 mb],Geneva Wind Direction [850 mb],Geneva Wind Speed [700 mb],Geneva Wind Direction [700 mb],Geneva Wind Speed [500 mb],Geneva Wind Direction [500 mb],Geneva Temperature [1000 mb],Geneva Temperature [850 mb],Geneva Temperature [700 mb],Geneva Temperature,Geneva Soil Temperature [0-10 cm down],Geneva Soil Moisture [0-10 cm down],Geneva Vapor Pressure Deficit [2 m]
20200511T0000,15.15507,97.0,1003.0,1.2,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,3.6,2.1967907,255.96376,4.379589,260.5377,1.5273507,315.0,8.534353,62.354027,21.897945,136.33221,67.35945,192.0306,17.54,10.47,-0.3,14.45,16.0,0.289,0.4943943
